Asignatura;Nivel;Núcleo_Curricular;Créditos
Álgebra_y_Trigonometría;1;Ciencias_Básicas;3
Cálculo_Diferencial;1;Ciencias_Básicas;3
Geometría_Vectorial_y_Analítica;1;Ciencias_Básicas;3
Vivamos_la_Universidad;1;Ciencias_Básicas;1
Inglés_I;1;Formación_Complementaria;1
Lectoescritura;1;Formación_Complementaria;3
Introducción_a_la_Ingeniería Industrial;1;Generales;1
Gestión_de_las_Organizaciones;2;Administración_y_Finanzas;3
Habilidades_Gerenciales;2;Administración_y_Finanzas;3
Álgebra_Lineal;2;Ciencias_Básicas;3
Cálculo_Integral;2;Ciencias_Básicas;3
Descubriendo_la_Física;2;Ciencias_Básicas;3
Inglés_II;2;Formación_Complementaria;1
Gestión_Contable;3;Administración_y_Finanzas;3
Física_Mecánica;3;Ciencias_Básicas;3
Inglés_III;3;Formación_Complementaria;1
Algoritmia_y_Programación;3;Métodos_Cuantitativos;3
Probabilidad_e_Inferencia_Estadística;3;Métodos_Cuantitativos;3
Teoría_General_de_Sistemas;3;Métodos_Cuantitativos;3
Ingeniería_Económica;4;Administración_y_Finanzas;3
Electiva_en_Física;4;Ciencias_Básicas;3
Inglés_IV;4;Formación_Complementaria;1
Diseño_de_Experimentos_y_Análisis de Regresión;4;Métodos_Cuantitativos;3
Optimización;4;Métodos_Cuantitativos;3
Gestión_de_Métodos_y_Tiempos;4;Producción,_Logística_y_Calidad;4
Gestión_Financiera;5;Administración_y_Finanzas;3
Laboratorio_Integrado_de_Física;5;Ciencias_Básicas;1
Inglés_V;5;Formación_Complementaria;1
Formación_Ciudadana_y_Constitucional;5;Formación_Complementaria;1
Dinámica_de_Sistemas;5;Métodos_Cuantitativos;3
Muestreo_y_Series_de_Tiempo;5;Métodos_Cuantitativos;3
Procesos_Estocásticos_y_Análisis_de_Decisión;5;Métodos_Cuantitativos;3
Gestión_por_Procesos;5;Producción,_Logística_y_Calidad;3
Gestión_Tecnológica;6;Administración_y_Finanzas;3
Legislación;6;Administración_y_Finanzas;3
Electiva_en_Humanidades_I;6;Electivas_Socio_Humanísticas;3
Inglés_VI;6;Formación_Complementaria;1
Simulación_Discreta;6;Métodos_Cuantitativos;3
Formulación_de Proyectos_de_Investigación;6;Generales;3
Normalización_y_Control_de_la_Calidad;6;Producción,_Logística_y_Calidad;3
Formulación_y_Evaluación_de_Proyectos_de_Inversión;7;Administración_y_Finanzas;3
Emprendimiento;7;Administración_y_Finanzas;2
Electiva_en_Humanidades_II;7;Electivas_Socio_Humanísticas;3
Énfasis_Profesional_I;7;Énfasis_Profesional;3
Electiva_Complementaria_I;7;Formación_Complementaria;3
Diseño_de_Sistemas_Productivos;7;Producción,_Logística_y_Calidad;3
Gestión_de_Proyectos;8;Administración_y_Finanzas;3
Electiva_en_Humanidades_III;8;Electivas_Socio_Humanísticas;3
Énfasis_Profesional_I;8;Énfasis_Profesional;3
Electiva_Complementaria_I;8;Formación_Complementaria;3
Administración_de_la_Producción_y_del_Servicio;8;Producción,_Logística_y_Calidad;3
Electiva_en_Humanidades_IV;9;Electivas_Socio_Humanísticas;3
Énfasis_Profesional_I;9;Énfasis_Profesional;3
Electiva_Complementaria_I;9;Formación_Complementaria;3
Gestión_de_la_cadena_de_Abastecimiento;9;Producción,_Logística_y_Calidad;3
Ingeniería_del_Mejoramiento_Continuo;9;Producción,_Logística_y_Calidad;3
Práctica_Profesional;10;Generales;12
